1584=5+1579 1584=13+1571 1584=17+1567 1584=31+1553 1584=41+1543
1584=53+1531 1584=61+1523 1584=73+1511 1584=97+1487 1584=101+1483
1584=103+1481 1584=113+1471 1584=131+1453 1584=137+1447 1584=151+1433
1584=157+1427 1584=211+1373 1584=223+1361 1584=257+1327 1584=263+1321
1584=277+1307 1584=281+1303 1584=283+1301 1584=293+1291 1584=307+1277
1584=347+1237 1584=353+1231 1584=367+1217 1584=383+1201 1584=397+1187
1584=421+1163 1584=431+1153 1584=433+1151 1584=461+1123 1584=467+1117
1584=487+1097 1584=491+1093 1584=521+1063 1584=523+1061 1584=563+1021
1584=571+1013 1584=587+997 1584=593+991 1584=601+983 1584=607+977
1584=613+971 1584=617+967 1584=631+953 1584=643+941 1584=647+937
1584=673+911 1584=677+907 1584=701+883 1584=727+857 1584=757+827
1584=761+823 1584=773+811 1584=787+797
